SKELID	TILUDRONATE
ADALAT 20	NIFEDIPINE
SULFAMETHOXAZOL	SULFAMETHOXAZOLE
ZARZIO	FILGRASTIM
TERBUTALINE	TERBUTALINE
CALMIREN	MEPROBAMATE
MESORIDAZINE	MESORIDAZINE
PARTUSS	PHENYLPROPANOLAMINE
NYTOL QUICKGELS	DIPHENHYDRAMINE
GROSPISK	METHYLDOPA
ACIDE NICOTINIQUE	NIACIN
OPTENYL	PAPAVERINE
VALPROMIDE	VALPROMIDE
DIFENILHIDANTOINA	PHENYTOIN
VASCARDIN	ISOSORBIDE DINITRATE
EUTONYL	PARGYLINE
DOLASETRONUM [INN-LATIN]	DOLASETRON
ADRENALIN	EPINEPHRINE
DYLEPHRIN	EPINEPHRINE
PRELONE	PREDNISOLONE
OCU-PHRIN STERILE EYE DROPS	PHENYLEPHRINE
RITMODAN	DISOPYRAMIDE
SIBOL	DIETHYLSTILBESTROL
RISPOLEPT	RISPERIDONE
CO-VIDARABINE	PENTOSTATIN
AMFIPEN	AMPICILLIN
SENSORCAINE-MPF	BUPIVACAINE
MOBIC	MELOXICAM
REBOXETINE MESYLATE	REBOXETINE
TRANSAMINE	TRANYLCYPROMINE
TB-PHLOGIN	ISONIAZID
LEMOD	METHYLPREDNISOLONE
CHAMPIX	VARENICLINE
DURATION	PHENYLEPHRINE
ULXID	NIZATIDINE
ASTROCID	SULFANILAMIDE
DIFFUMAL	THEOPHYLLINE
MCN-JR 15403-11	DIFENOXIN
KEFLEX	CEPHALEXIN
KEFLET	CEPHALEXIN
NOURYTAM	TAMOXIFEN
BROMDIPHENYLHYDRAMINE HYDROCHLORIDE	BROMODIPHENHYDRAMINE
MYSITE	OXYPHENBUTAZONE
P-AMINOBENZENESULFONACETAMIDE	SULFACETAMIDE
THEIN	CAFFEINE
BEZAFIBRATO [INN-SPANISH]	BEZAFIBRATE
LOROMISAN	CHLORAMPHENICOL
ASPIRIN	ACETYLSALICYLIC ACID
CAPQUIN	CHLOROQUINE
LOFEXIDINE HYDROCHLORIDE	LOFEXIDINE
GESTODENE	GESTODENE
CAFECON	CAFFEINE
RELIEF EYE DROPS FOR RED EYES	PHENYLEPHRINE
)-ESTRA-1,3,5(10)-TRIENE-3,16,17-TRIOL	ESTRIOL
FURIX	FUROSEMIDE
K-LYTE CL	POTASSIUM CHLORIDE
NOVO-INDAPAMIDE	INDAPAMIDE
DAUNORRUBICINA	DAUNORUBICIN
NIFLURIL	NIFLUMIC ACID
BEPADIN	BEPRIDIL
TESTICULOSTERONE	TESTOSTERONE
DALTEPARINUM NATRICUM	DALTEPARIN
IDALPREM	LORAZEPAM
10ALPHA-ISOPREGNENONE	DYDROGESTERONE
KEW TREE	GINKGO BILOBA
CYCLANDELATE	CYCLANDELATE
JENACAIN	PROCAINE
DROTAVERINE	DROTAVERINE
PHENSUXIMIDUM [INN-LATIN]	PHENSUXIMIDE
PEPCID	FAMOTIDINE
TURGEX	HEXACHLOROPHENE
ROBAXON	METHOCARBAMOL
AUROFAC	LYMECYCLINE
OXANDROLONE	OXANDROLONE
CARYOLYSIN	MECHLORETHAMINE
ANTIKOL	DISULFIRAM
ARG34LYS26-(N-	LIRAGLUTIDE
FAMOCID	FAMOTIDINE
NICOTENE	NIACIN
TROMBOSAN	DICUMAROL
DOMESTROL	DIETHYLSTILBESTROL
DEBENAL	SULFADIAZINE
NICORETTE PLUS	NICOTINE
PROPERICIAZINE	PROPERICIAZINE
CHINCHEN	CARISOPRODOL
RESERPIDINE	DESERPIDINE
RADIOCIN	FLUOCINOLONE ACETONIDE
PERUSCABIN	BENZYL BENZOATE
SANILVUDINE	STAVUDINE
LOW LIQUEMINE	DALTEPARIN
BECLACIN	BECLOMETASONE DIPROPIONATE
CENA-K	POTASSIUM CHLORIDE
ACIMETHIN	L-METHIONINE
FORSCARNET SODIUM	FOSCARNET
P-CHLORO-N-(2-MORPHOLINOETHYL)BENZAMIDE	MOCLOBEMIDE
XANAX XR	ALPRAZOLAM
XIMELAGATRAN	XIMELAGATRAN
ALX-0600	TEDUGLUTIDE
MYLECYTAN	BUSULFAN
ETHYL AMINOBENZOATE	BENZOCAINE
FUROBACTINA	NITROFURANTOIN
SEBAZOLE	KETOCONAZOLE
PHENETHYLDIGUANIDE	PHENFORMIN
N,2-DIMETHYL-2-PHENYLSUCCINIMIDE	METHSUXIMIDE
CLAMOXYL	AMOXICILLIN
ALGIX	ETORICOXIB
SB 75	CETRORELIX
MELITOXIN	DICUMAROL
BUTAPIRAZOL	PHENYLBUTAZONE
ROPINIROL [INN-SPANISH]	ROPINIROLE
CEPHIN	CEPHALEXIN
LISOLIPIN	DEXTROTHYROXINE
TSIKLAMID	ACETOHEXAMIDE
BUWECON	HYOSCYAMINE
SUPREL	EPINEPHRINE
TANSTON	MEFENAMIC ACID
FURESOL	NITROFURAZONE
CEPHALOTHIN SODIUM	CEFALOTIN
SAQUINAVIR MESYLATE	SAQUINAVIR
OCU-CARPINE	PILOCARPINE
MELATOL	MELATONIN
MONOLONG 40	ISOSORBIDE MONONITRATE
3,3-BIS(P-HYDROXYPHENYL)-2-INDOLINONE	OXYPHENISATIN
SULFOXOL	SULFISOXAZOLE
ETIMONIS	ISOSORBIDE MONONITRATE
LUNESTA	ESZOPICLONE
CARBOXYPEPTIDASE G2	GLUCARPIDASE
KEPIVANCE (AMGEN INC)	PALIFERMIN
VALIUM	DIAZEPAM
PSEUDO-12	PSEUDOEPHEDRINE
MONOBENZYL ETHER HYDROQUINONE	MONOBENZONE
FENOLDOPAMUM [LATIN]	FENOLDOPAM
NILANDRON	NILUTAMIDE
BERKOMINE	IMIPRAMINE
LABYRIN	CINNARIZINE
HYDRO	FUROSEMIDE
THILLATE	CLOFIBRATE
PETINUTIN	METHSUXIMIDE
PROCARBAZINUM [INN-LATIN]	PROCARBAZINE
AMIFOSTINE ETHIOFOS	AMIFOSTINE
CIBACEN	BENAZEPRIL
DAIPIN	METHYLSCOPOLAMINE
ALLERGAN 211	IDOXURIDINE
FOILLE INSETTI	HYDROCORTISONE
SORBONIT	ISOSORBIDE DINITRATE
JETREA	OCRIPLASMIN
GASTRIMUT	OMEPRAZOLE
MESALAZINE	MESALAZINE
GSH	GLUTATHIONE
PASCORBIC	AMINOSALICYLIC ACID
AKNIN	ERYTHROMYCIN
VANEX	PHENYLPROPANOLAMINE
NICOTINIPCA	NIACIN
RANITIDIN HEXAL	RANITIDINE
MECAMYLAMINE	MECAMYLAMINE
KLONOPIN	CLONAZEPAM
LUMOFRIDETTEN	PHENOBARBITAL
FICORTRIL	HYDROCORTISONE
HEMSOL-HC	HYDROCORTISONE
FUNGAREST	KETOCONAZOLE
NAROPIN	ROPIVACAINE
MAYCOR	ISOSORBIDE DINITRATE
LEPENIL	MEPROBAMATE
INTERFERON ALFACON-1	INTERFERON ALFACON-1
AMINOMETHANAMIDINE	GUANIDINE
SQV	SAQUINAVIR
NOGRAM	NALIDIXIC ACID
AMPHOTERICIN B	AMPHOTERICIN B
HYALURONIDASE 1 PRECURSOR	HYALURONIDASE
KAY-CIEL	POTASSIUM CHLORIDE
SEDALIS	THALIDOMIDE
CIPRINOL	CIPROFLOXACIN
CLORHEXIDINA [INN-SPANISH]	CHLORHEXIDINE
RONPHENIL	CHLORAMPHENICOL
NAPHTHIOMATE T	TOLNAFTATE
NULOJIX	BELATACEPT
COMPOUND 4049	MALATHION
DESDEMIN	FUROSEMIDE
KOGENATE FS	ANTIHEMOPHILIC FACTOR
TERLIPRESSINE [INN-FRENCH]	TERLIPRESSIN
TOCILIZUMAB	TOCILIZUMAB
CORTISPRAY	HYDROCORTISONE
DETENSIEL	BISOPROLOL
DYDROGESTERONUM [INN-LATIN]	DYDROGESTERONE
POMOLINE	PEMOLINE
PROCLORPERAZINE	PROCHLORPERAZINE
LEVORENIN	EPINEPHRINE
BROMERGOCRYPTINE	BROMOCRIPTINE
MED-GLIONIL	GLYBURIDE
THIONEMBUTAL	THIOPENTAL
RANITIC	RANITIDINE
CINNACET	CINNARIZINE
SECORBATE	VITAMIN C
RANITIN	RANITIDINE
BYLOTENSIN	NITRENDIPINE
RESPIFRAL	ISOPROTERENOL
ETHOSUXIDE	ETHOSUXIMIDE
AFTER BURN DOUBLE STRENGTH SPRAY	LIDOCAINE
IDB	IODIPAMIDE
PHENYLALANINE NITROGEN MUSTARD	MELPHALAN
KETAJECT	KETAMINE
ZETIA	EZETIMIBE
CAPREOMYCIN SULPHATE	CAPREOMYCIN
LEDERTREXATE	METHOTREXATE
N-HYRDROXY-N'-PHENYLOCTANEDIAMIDE	VORINOSTAT
RANIC	RANITIDINE
TALOHEXAL	CITALOPRAM
FLUCLOXACILLINE [INN-FRENCH]	FLUCLOXACILLIN
ID2	IDOXURIDINE
SULFOCIDIN	SULFANILAMIDE
NIAGESTIN	MEGESTROL
QUIBRON-T/SR	THEOPHYLLINE
PROLOPRIM	TRIMETHOPRIM
BENZATROPINE	BENZATROPINE
N-TOIN	NITROFURANTOIN
DECA DURABOLIN	NANDROLONE DECANOATE
CARISOPRODOL	CARISOPRODOL
AMITIZA	LUBIPROSTONE
L-LYXOASCORBIC ACID	VITAMIN C
DIKUMAROL	DICUMAROL
PILAGAN	PILOCARPINE
DELTANYNE	DRONABINOL
DYNACRINE	ISRADIPINE
BACAMPICILLIN	BACAMPICILLIN
MESASAL	MESALAZINE
SELES BETA	ATENOLOL
C-SIS	BECAPLERMIN
COROXIN	DIPYRIDAMOLE
OXIPHENCYCLIMINUM	OXYPHENCYCLIMINE
SALZONE	ACETAMINOPHEN
FRAMYGEN	FRAMYCETIN
GABAPENTINO [INN-SPANISH]	GABAPENTIN
RANITIDIN MILLET	RANITIDINE
ETHOPROPAZINE HYDROCHLORIDE	ETHOPROPAZINE
ABSTINYL	DISULFIRAM
THIAMAZOLE	METHIMAZOLE
ABLAVAR	GADOFOSVESET TRISODIUM
SUFENTANIL	SUFENTANIL
TRAVATAN	TRAVOPROST
PLATINOL	CISPLATIN
EPEG	ETOPOSIDE
CEFALOTINE [INN-FRENCH]	CEFALOTIN
CLOTRIMAZOLE	CLOTRIMAZOLE
SULONEX	SULODEXIDE
LUTORAL	MEDROXYPROGESTERONE
BROMOCRYPTINE	BROMOCRIPTINE
CALCILAT	NIFEDIPINE
UNII-839I73S42A	LIRAGLUTIDE
CHLOROTRIANISENE	CHLOROTRIANISENE
THORAZINE	CHLORPROMAZINE
APO-DICLO	DICLOFENAC
FENIRAMINA [INN-SPANISH]	PHENIRAMINE
DIFHYDAN	PHENYTOIN
STREPTOZOCIN	STREPTOZOCIN
MIANSERYNA [POLISH]	MIANSERIN
TRANXENE	CLORAZEPATE
PROFASI	CHORIOGONADOTROPIN ALFA
ADCETRIS	BRENTUXIMAB VEDOTIN
CETRIZINE HCL	CETIRIZINE
OPHTHOCORT	CHLORAMPHENICOL
MALACIDE	MALATHION
CARBASTAT	CARBACHOL
ARTRIZIN	PHENYLBUTAZONE
CHORIOGONADOTROPIN BETA CHAIN PRECURSOR	CHORIOGONADOTROPIN ALFA
COR-THEOPHYLLINE	DYPHYLLINE
PERINDOPRIL ERBUMINE	PERINDOPRIL
SINKUMAR	ACENOCOUMAROL
BRISTAB	FUROSEMIDE
SENIOR	PEMOLINE
OXYBUTON	OXYPHENBUTAZONE
BELVAS	LOVASTATIN
XGEVA	DENOSUMAB
METHYLAMPHETAMINE	METHAMPHETAMINE
SOMNOLENS	PHENOBARBITAL
MICRONYL	BUDESONIDE
LEVOMETHORPHAN [BAN:DCF:INN]	DEXTROMETHORPHAN
QUINAPRIL HCL	QUINAPRIL
DURAPHYLLIN	THEOPHYLLINE
KYSELINA ASKORBOVA	VITAMIN C
ALDOMETIL	METHYLDOPA
SUPERCORTIL	PREDNISONE
PIRAZIMIDA	PYRAZINAMIDE
HYDROXYL POLYETHOXY DODECANE	POLIDOCANOL
CEFTAROLINE	CEFTAROLINE FOSAMIL
SEHKRAFT A	VITAMIN A
SELECTOFUR	FUROSEMIDE
ESOPRAL	ESOMEPRAZOLE
SR 141716A	RIMONABANT
ROVARTAL	ROSUVASTATIN
HUMIBID L.A	GUAIFENESIN
TAMCHA	TRANEXAMIC ACID
PERTIL	ISOSORBIDE MONONITRATE
DIHYDROERGOTAMINE	DIHYDROERGOTAMINE
METHANTHINE BROMIDE	METHANTHELINE
AKNEFUG	TRETINOIN
NOVO-TEMAZEPAM	TEMAZEPAM
PRAXIN	OFLOXACIN
ZENAPAX (HOFFMANN-LA ROCHE INC)	DACLIZUMAB
CARBOPLATIN	CARBOPLATIN
APTINE	ALPRENOLOL
WYFENTERMINA	MEPHENTERMINE
AZELASTINA [INN-SPANISH]	AZELASTINE
PROTANGIX	DIPYRIDAMOLE
ARAGEST	MEDROXYPROGESTERONE
PARANEPHRIN	EPINEPHRINE
RIPRONE	DEFERIPRONE
EDEMOX	ACETAZOLAMIDE
SPIRA-DINE	ACETYLSALICYLIC ACID
CHLORPERPHENAZINE	PERPHENAZINE
AFRIN CHERRY 12 HOUR NASAL SPRAY	OXYMETAZOLINE
TRIAMCINLON	TRIAMCINOLONE
METRORAT	DEXTROMETHORPHAN
ROIDENIN	IBUPROFEN
ANTIMICINA	ISONIAZID
KORLYM	MIFEPRISTONE
LENTIZOL	AMITRIPTYLINE
NORVECTAN	IBUPROFEN
L-LYS	L-LYSINE
DEINAIT	HYDROXYZINE
ATROMIDIN	CLOFIBRATE
ERITRITILE TETRANITRATO [DCIT]	ERYTHRITYL TETRANITRATE
METHOPTERIN	METHOTREXATE
,	L-LYSINE
ERGOTONIN	DIHYDROERGOTAMINE
ICOSAPENT	ICOSAPENT
PANACELAN F TROMETHAMINE SALT	DINOPROST TROMETHAMINE
SEDOQUIL	MEPROBAMATE
METROMIDOL	METRONIDAZOLE
LINACLOTIDE	LINACLOTIDE
ALDESLEUKIN	ALDESLEUKIN
ONCOVIN	VINCRISTINE
SANCELER TET	DISULFIRAM
QUINERCYL	CHLOROQUINE
LINCOREX	LINCOMYCIN
FURADOINE	NITROFURANTOIN
IDARUBICIN HCL	IDARUBICIN
CLOMIPRAMINA [INN-SPANISH]	CLOMIPRAMINE
RESIPAL	RESCINNAMINE
AXID AR	NIZATIDINE
DFOA	DEFEROXAMINE
PEDI-DRI	NYSTATIN
DFOM	DEFEROXAMINE
METHYLERGONOVINE	METHYLERGONOVINE
WILLBUTAMIDE	TOLBUTAMIDE
SINFLO	OFLOXACIN
MYCIVIN	LINCOMYCIN
MEPRO-ASPIRIN	MEPROBAMATE
MACROCYCLON	TYLOXAPOL
MINIPRESS XL	PRAZOSIN
CUPRENIL	PENICILLAMINE
ALPHA-DIETHYLAMINOPROPIOPHENONE	DIETHYLPROPION
DECAPREDNIL	PREDNISOLONE
CREMOTRES	SULFADIAZINE
GESTONE	PROGESTERONE
ARTEMETHER	ARTEMETHER
AEROLIN	SALBUTAMOL
VENLAFAXINE	VENLAFAXINE
NOVO-VALPROIC	VALPROIC ACID
CEFMENOXIMUM [INN-LATIN]	CEFMENOXIME
AZANIN	AZATHIOPRINE
MK 462 FREE BASE	RIZATRIPTAN
NALCRON	CROMOGLICIC ACID
IMESONAL	SECOBARBITAL
DIFENILHIDANTOINA [SPANISH]	PHENYTOIN
MIANSERINE [INN-FRENCH]	MIANSERIN
CAPROLISIN	AMINOCAPROIC ACID
AMPICHEL	AMPICILLIN
4-(2-THEONYL)-2,3-DICHLORPHENOXYESSIGSAEURE [GERMAN]	TICRYNAFEN
PROPYTHIOURACIL	PROPYLTHIOURACIL
SIGMACORT	HYDROCORTISONE
COGNEX	TACRINE
DIDAN TDC 250	PHENYTOIN
ALKERGOT	ERGOLOID MESYLATE
ADALAT CRONO	NIFEDIPINE
SPAN-K	POTASSIUM CHLORIDE
MULTUM	CHLORDIAZEPOXIDE
GALLAMINE TRIIODOETHYLATE	GALLAMINE TRIETHIODIDE
TOPICYCLINE	TETRACYCLINE
1,8-DIHYDROXYANTHRAQUINONE	DANTRON
NEGAMICIN	FRAMYCETIN
RESTFUL	SULPIRIDE
PHENIRAMINUM [INN-LATIN]	PHENIRAMINE
MARCUMAR	PHENPROCOUMON
DF-118	DIHYDROCODEINE
PLACIDOL	HYDROXYZINE
ATRACURIUM	ATRACURIUM
VERIPAQUE	OXYPHENISATIN
NYSCOZID	ISONIAZID
PHENTERMINE	PHENTERMINE
BLOPRESS	CANDESARTAN
IMINOMETHYL]PHENYL]	DABIGATRAN ETEXILATE
LUTRATE	LEUPROLIDE
CLARIPEX	CLOFIBRATE
MIGLITOL	MIGLITOL
BIOMYDRIN	PHENYLEPHRINE
LIPIDIL MICRO	FENOFIBRATE
SULFAFENAZOL [INN-SPANISH]	SULFAPHENAZOLE
PANAFEN	IBUPROFEN
MERCAPTAMIN	CYSTEAMINE
NORPSEUDOEPHEDRINE	CATHINE
DENIBAN	AMISULPRIDE
SURACTON	SPIRONOLACTONE
SANDESIN	ADENOSINE
AMITRIL	AMITRIPTYLINE
CHOLYBAR	CHOLESTYRAMINE
TOBIL	AZITHROMYCIN
ANFLAGEN	IBUPROFEN
AZELAINIC ACID	AZELAIC ACID
SULFALOID	SULFADIAZINE
EMEDASTINE	EMEDASTINE
CHLOROQUINE	CHLOROQUINE
RIBAVIRIN	RIBAVIRIN
PIOGLITAZONE HCL	PIOGLITAZONE
METIXENO [INN-SPANISH]	METIXENE
CHLOROQUINA	CHLOROQUINE
MOCLAIME	MOCLOBEMIDE
SUSPENDOL	ALLOPURINOL
FLOVACIL	DIFLUNISAL
DOXIDAN	PHENOLPHTHALEIN
OXYCODONE	OXYCODONE
PACLITAXEL	PACLITAXEL
AMIDOTRIZOIC ACID	DIATRIZOATE
NORPREGNENINOLONE	NORETHINDRONE
CHLORPROTHIXENE	CHLORPROTHIXENE
L-NORADRENALINE	NOREPINEPHRINE
FENISTIL	DIMETHINDENE
CLOROCHINA	CHLOROQUINE
CONACETOL	ACETAMINOPHEN
DIOPHINDANE	PHENINDIONE
PYROLAXON	GALLAMINE TRIETHIODIDE
IBUSTAR	IBUPROFEN
CILOXAN	CIPROFLOXACIN
BITIONOL [INN-SPANISH]	BITHIONOL
ULCOGANT	SUCRALFATE
FEMADOL	PROPOXYPHENE
TOX-HID	WARFARIN
FEMADON	IBUPROFEN
CONTRADOL	PHENACETIN
RACEPINEFRINA [INN-SPANISH]	EPINEPHRINE
TERIDIN	TRIAMTERENE
ALPHANATE	ANTIHEMOPHILIC FACTOR
BETA-METHASONE ALCOHOL	BETAMETHASONE
GADOFOSVESET	GADOFOSVESET TRISODIUM
NORESTRAN	SULPIRIDE
APAMIDE	ACETAMINOPHEN
TRIPOTASSIUM TRICHLORIDE	POTASSIUM CHLORIDE
(S)-2-AMINO-4-(METHYLTHIO)BUTYRIC ACID	L-METHIONINE
DISPADOL	MEPERIDINE
METALAZONE	METOLAZONE
P80 TNF-ALPHA RECEPTOR	ETANERCEPT
K. TAB	POTASSIUM CHLORIDE
NITREPIN	NITRENDIPINE
RIMAZID	RIFAMPIN
ROSEX	WARFARIN
ISONIN	ISONIAZID
NEOSEDYN	THALIDOMIDE
DIDEOXYCYTIDINE	ZALCITABINE
GLUMETZA	METFORMIN
GW 273293	LAMOTRIGINE
ETCHLORVINOLO	ETHCHLORVYNOL
17ALPHA-HYDROXYCORTICOSTERONE	HYDROCORTISONE
WARFARAT	WARFARIN
PALIVIZUMAB	PALIVIZUMAB
TRISENOX	ARSENIC TRIOXIDE
METHYLPHENIDATE HCL	METHYLPHENIDATE
RIVASTIGMINE	RIVASTIGMINE
ROSOXACIN	ROSOXACIN
NEFCO	NITROFURAZONE
ESPRIL	NIALAMIDE
TICLOPIDINE	TICLOPIDINE
CC	CHOLECALCIFEROL
CB	CARBACHOL
CD	PYRIMETHAMINE
CZ	CAMAZEPAM
CY	CYCLOPHOSPHAMIDE
ACETYLIN	ACETYLSALICYLIC ACID
THEOLIXIR	THEOPHYLLINE
ANTHRACYLINE	DAUNORUBICIN
ACETONE, BIS(3,5-DI-TERT-BUTYL-4-HYDROXYPHENYL) MERCAPTOLE	PROBUCOL
PROVISACOR	ROSUVASTATIN
NORLUTON	NORETHINDRONE
OPHTHOCLOR	CHLORAMPHENICOL
BENZYL BENZOATE	BENZYL BENZOATE
HYTUSS	GUAIFENESIN
NOSTRIL SPRAY PUMP	PHENYLEPHRINE
STREPTOSILPYRIDINE	SULFAPYRIDINE
ARMOPHYLLINE	THEOPHYLLINE
SEMI-DAONIL	GLYBURIDE
SEC-BUTYL ALLYL BARBITURIC ACID	TALBUTAL
ADRIAMYCIN PFS	DOXORUBICIN
LISURIDE MALEATE	LISURIDE
ATROPINE CARE	ATROPINE
LUTREPULSE	GONADORELIN
LIPANTHYL	FENOFIBRATE
MONOKET	ISOSORBIDE MONONITRATE
CHLOTRIMAZOLE	CLOTRIMAZOLE
CEGLION	VITAMIN C
OZOKEN	OMEPRAZOLE
TOLCASONE	TRICHLORMETHIAZIDE
CLAPHENE	CYCLOPHOSPHAMIDE
BENZHYDROFLUMETHIAZIDE	BENDROFLUMETHIAZIDE
DIATRIAZOATE	DIATRIZOATE
MELPHALAN	MELPHALAN
ELMEDAL	PHENYLBUTAZONE
JAKAFI	RUXOLITINIB
PRAMIL	SECOBARBITAL
PRAMIN	METOCLOPRAMIDE
METIXENE	METIXENE
PROSEPTOL	SULFANILAMIDE
ELDEZOL F-6	NITROFURAZONE
PHEBUZIN	PHENYLBUTAZONE
IDARUBICIN AGLYCONE	IDARUBICIN
HALOFANTRINE	HALOFANTRINE
VITAVEL-D	ERGOCALCIFEROL
2-AMINOETHYL MERCAPTAN	CYSTEAMINE
DIFUTRAT	ISOSORBIDE DINITRATE
SULFMIDIL	SULFAMOXOLE
ARISTOSPAN	TRIAMCINOLONE
HYDRO-AQUIL	HYDROCHLOROTHIAZIDE
SUPRAMETIL	METHYLPREDNISOLONE
ENTROKIN	CLIOQUINOL
GANCICLOVIR	GANCICLOVIR
DICHINALEX	CHLOROQUINE
GLISOXEPIDE	GLISOXEPIDE
ALIZAPRIDUM [INN-LATIN]	ALIZAPRIDE
DEXTROPROPOXYPHENE-M	PROPOXYPHENE
WEMID	ERYTHROMYCIN
HERCEPTIN	TRASTUZUMAB
RIVALGYL	ACETAMINOPHEN
DIMETHYLTUBOCURARINE IODIDE	METOCURINE IODIDE
LIPEX	SIMVASTATIN
NIMODIPINUM [INN-LATIN]	NIMODIPINE
NIFELATE	NIFEDIPINE
7-BETA-HYDROXYLITHOCHOLIC ACID	URSODEOXYCHOLIC ACID
PTC	COAGULATION FACTOR IX
GUAJACOL-GLYCERINAETHER	GUAIFENESIN
METHENAMIC ACID	MEFENAMIC ACID
BAYER A 173	PROCHLORPERAZINE
LERCANIDIPINE	LERCANIDIPINE
DORMINA	PHENOBARBITAL
NOVATROPINE	HOMATROPINE METHYLBROMIDE
SEGUREX	BUMETANIDE
FLUNISOLIDE [ANHYDROUS]	FLUNISOLIDE
ROTAHALER	SALBUTAMOL
HIVID	ZALCITABINE
MIDAZOLAM HCL	MIDAZOLAM
LOWPSTON	FUROSEMIDE
PARACHLORAMINE	MECLIZINE
VIGABATRIN [USAN:BAN:INN]	VIGABATRIN
CLINDAMICINA [INN-SPANISH]	CLINDAMYCIN
ALBON	SULFADIMETHOXINE
LESCOPINE BROMIDE	METHYLSCOPOLAMINE
CONCEPLAN	NORETHINDRONE
DIETHYLPROPIONE HYDROCHLORIDE	DIETHYLPROPION
OPTIA	TERIPARATIDE
CONLUDAF	NORETHINDRONE
CONLUDAG	NORETHINDRONE
ELDESINE	VINDESINE
METHENAMIDE	METHAZOLAMIDE
ILOPROST	ILOPROST
ANTIVERT/50	MECLIZINE
PHL-URSODIOL C	URSODEOXYCHOLIC ACID
POLIFLOGIL	OXYPHENBUTAZONE
RECTADIONE	PHENINDIONE
AMBEN ETHYL ESTER	BENZOCAINE
CEFALEXINA [INN-SPANISH]	CEPHALEXIN
ANKEBIN	FENOFIBRATE
CHRONOGESIC	SUFENTANIL
DYDROGESTERONE	DYDROGESTERONE
ALGLUCOSIDASE ALFA	ALGLUCOSIDASE ALFA
DEXTRORAZOXANE	DEXRAZOXANE
NEOFLEX	CHLORZOXAZONE
CEPASTAT EXTRA STRENGTH	PHENOL
VITAMIN A	VITAMIN A
SALICYLIC ACID COLLODION	SALICYCLIC ACID
OXYPHENONIUM BROMIDE	OXYPHENONIUM
PLANUM	TEMAZEPAM
BIOZOLENE	FLUCONAZOLE
PROFENIL	ALVERINE
XIFAXAN	RIFAXIMIN
GENERLAC	LACTULOSE
NODACA	CAFFEINE
PROFENID	KETOPROFEN
NEOCID	GRISEOFULVIN
METRONIDAZOLO	METRONIDAZOLE
METRONIDAZOLE	METRONIDAZOLE
PROFARMIL	THALIDOMIDE
AMIKAR	AMINOCAPROIC ACID
RG2077	ABATACEPT
FLUOROPLEX	FLUOROURACIL
VITAMIN M	FOLIC ACID
4-(2-THIENYLKETO)-2,3-DICHLOROPHENOXYACETIC ACID	TICRYNAFEN
TARCEVA	ERLOTINIB
TROL	VITAMIN A
PAPTIAL T.R.	PAPAVERINE
LULLAMIN	METHAPYRILENE
COMPRO	PROCHLORPERAZINE
IRBESARTAN	IRBESARTAN
ERIDAN	DIAZEPAM
XYNTHA	ANTIHEMOPHILIC FACTOR
ZANDID	RANITIDINE
ACORTAN	CORTICOTROPIN
CLONIDIN	CLONIDINE
CLOBETASOL	CLOBETASOL
HEXERMINE	PYRIDOXINE
GADAVIST	GADOBUTROL
TEGRETOL CR	CARBAMAZEPINE
DEMECLOCYCLINUM [INN-LATIN]	DEMECLOCYCLINE
L-ASPARAGINSAEURE	L-ASPARTIC ACID
TORENTAL	PENTOXIFYLLINE
MEVACOR	LOVASTATIN
SILBEPHYLLINE	DYPHYLLINE
PRONTOSIL ALBUM	SULFANILAMIDE
ISOGLAUCON	CLONIDINE
SURAMIN SODIUM	SURAMIN
APOMORFIN	APOMORPHINE
(3-PHOSPHORYLOXYMETHYL)PHENYTOIN	FOSPHENYTOIN
EPOSIN	ETOPOSIDE
N-METHYL-ALPHA-METHYL-ALPHA-PHENYLSUCCINIMIDE	METHSUXIMIDE
GALOPERIDOL	HALOPERIDOL
5-FLUOROCYTOSIN	FLUCYTOSINE
NEKTROHAN	ALLOPURINOL
FIO	PEMOLINE
CARE ONE SORE THROAT	PHENOL
NOMIFENSINUM [INN-LATIN]	NOMIFENSINE
LUXIQO	BETAMETHASONE
CARBAMIDE PHENYLACETATE	PHENACEMIDE
BETA-AMINOPROPYLBENZENE	AMPHETAMINE
PANTOZOL	PANTOPRAZOLE
NEO-AVAGAL	METHYLSCOPOLAMINE
NOVO-FLUNARIZINE	FLUNARIZINE
TELARGEAN	THALIDOMIDE
DOTYCIN	ERYTHROMYCIN
URBASON	METHYLPREDNISOLONE
PRINODOLOL	PINDOLOL
PHYLLINDON	AMINOPHYLLINE
ARTICULOSE-50	PREDNISOLONE
LABISTATIN	SIMVASTATIN
BI-PRIN	ACETYLSALICYLIC ACID
GLUCOBENE	GLYBURIDE
RELISTOR	METHYLNALTREXONE
RESULT	OMEPRAZOLE
ASPARAGIC ACID	L-ASPARTIC ACID
L-MORPHINE	MORPHINE
BIAMINE	THIAMINE
NASAREL	FLUNISOLIDE
NEVANAC	NEPAFENAC
HYDROMORPHON	HYDROMORPHONE
ADIPIODONA [INN-SPANISH]	IODIPAMIDE
AK-CHLOR OPHTHALMIC SOLUTION	CHLORAMPHENICOL
ANTISACER	PHENYTOIN
HYPNO-TABLINETTEN	PHENOBARBITAL
ATRA-IV	TRETINOIN
PNEUMOMIST	GUAIFENESIN
ERGOTAMIN	ERGOTAMINE
HALOTHANE	HALOTHANE
DANTROMIN	PEMOLINE
NROMOSON	ETHCHLORVYNOL
